X,A,B,C,D
68,0.3,0,0.1,0
69,0.3,-0.09375,0.7,5
70,0,-0.1875,0.7,0
71,0.3,-0.28125,1,5
72,0.3,-0.375,1,0
73,0.3,-0.46875,1,0
74,0.3,-0.46875,0.9,0
75,0.3,-0.96875,0.5,5
76,0.3,-1.5625,0.4,10
77,0.3,-1.75,0.9,5
78,0.3,-1.84375,0.7,0
79,0.3,-1.84375,0.7,0
80,0.3,-1.9375,0.8,0
81,0.3,-1.75,0.7,0
82,0.3,-1.5625,0.7,0
83,0,-1.46875,0.8,0
84,0.3,-1.15625,0.7,0
85,0.3,-0.1875,0.7,0
86,0.3,-0.09375,0.6,0
87,0.3,-0.09375,0.6,0
88,0.3,0,0.6,0
89,0.3,-0.09375,0.6,0
90,0.3,-0.09375,0.6,0
91,6.6,0.375,0.5,0
92,6.3,0.5625,0.3,0
93,6.6,0.65625,0.1,0
94,6.6,0.65625,0.1,0
95,6.9,0.65625,0.1,0
96,6.9,0.65625,0,0
97,7.2,0.65625,0.3,5
98,7.5,0.78125,0.7,5
99,7.5,0.875,1.2,5
100,7.5,0.96875,2.3,10
101,7.5,0.875,4.3,20
102,7.8,0.96875,6.7,25
103,0.3,2.4375,252.2,185
104,0.3,2.625,231.3,230
105,0.3,2.71875,204.8,240
106,0,2.71875,180.2,245
107,0,2.625,155.8,245
108,0.3,2.53125,131.5,245
109,0.3,2.25,109.1,225
110,0.3,2.34375,88,210
111,0.3,2.53125,66.9,210
112,0,2.34375,45.1,220
113,0.3,2.15625,19.6,255
114,0.3,2.625,10.9,305
115,33.3,-4.78125,2.2,0
116,31.5,-4.78125,2.2,0
117,29.7,-4.5,2.3,0
118,27.9,-4.21875,2.6,5
119,25.5,-3.90625,3.2,5
120,22.2,-3.625,3.9,5
121,16.8,-2.9375,4.9,10
122,13.5,-2.15625,6.4,15
123,14.1,-2.03125,8.5,20
124,13.2,-2.03125,15.6,70
125,8.7,-1.65625,28.3,125
126,4.5,-1.0625,44,155
127,-0.3,-0.46875,55.8,120
128,-0.3,-0.09375,74.1,185
129,0.3,0,98.7,245
130,0.3,0,129.1,305
131,0.3,0,164.1,350
132,0.3,0.09375,206.6,425
133,0,0.28125,249.2,425
134,0.3,0.1875,285.9,365
135,0.3,0.375,320,340
136,0.3,0.65625,352.6,325
137,0.3,0.78125,382.7,300
138,0,0.78125,406.4,235
139,0.3,0.65625,423.7,175
140,0.3,0.65625,437.7,140
141,0.3,0.65625,449,115
142,0.3,0.65625,456.8,80
143,0.3,0.65625,461.8,50
144,0.3,0.65625,464.5,25
145,0.3,0.78125,466,15
146,0,0.78125,466,0
147,0.3,0.78125,465.8,0
148,0.3,0.65625,463.5,25
149,0.3,0.875,454.5,90
150,0.3,0.96875,433.6,210
151,0,1.15625,407.8,260
152,0.3,1.34375,379.3,285
153,0.3,1.5625,344.5,350
154,0.3,1.5625,303.6,410
155,0.3,1.5625,258.5,450
156,0,1.5625,213.3,450
157,0.3,-0.1875,8.9,15
158,0,-0.1875,7.6,15
159,0,-0.09375,7.2,5
160,0,0,6.6,5
161,0.3,0,10.7,15
162,0.3,-0.09375,10.3,5
163,0,-0.09375,10.2,0
164,28.2,-4,3.5,0
165,26.4,-3.90625,5.6,20
166,24.6,-3.71875,12.3,65
167,23.4,-3.40625,24.7,125
168,22.2,-3.21875,41.7,170
169,21.6,-3.125,61.9,200
170,20.4,-2.9375,83.9,220
171,15,-2.53125,105.6,215
172,5.4,-1.46875,125.8,200
173,-0.6,-0.375,149,230
174,0.3,-0.1875,173.6,245
175,0.3,0,201.6,280
176,0,0,233.1,315
177,0.3,0,262.8,295
178,0.3,0.1875,290,270
179,0.3,0.28125,315.4,255
180,0.3,0.46875,339.5,240
181,0.3,0.46875,362.9,235
182,0.3,0.5625,383.7,210
183,0.3,0.65625,400.6,170
184,0.3,0.78125,407.2,65
185,0.3,0.96875,400.1,70
186,0.3,1.25,378.6,215
187,0,1.25,344.1,345
188,0.3,1.34375,302.2,420
189,0.3,1.75,256.4,460
190,0.3,1.84375,210.9,455
191,0,2.03125,165.7,450
192,0,1.84375,121.5,440
193,47.1,-6.15625,1.7,0
194,43.8,-6.15625,2.8,10
195,39.3,-5.875,8,50
196,34.8,-5.46875,17.8,100
197,30.6,-4.59375,32.5,145
198,25.8,-3.53125,51.3,190
199,23.4,-2.9375,72.2,210
200,21.3,-3.03125,95.3,230
201,19.5,-2.71875,122,265
202,14.7,-2.4375,150.2,280
203,2.1,-1.5625,182.8,325
204,-0.3,-0.46875,217.6,350
205,0,-0.28125,251.3,335
206,0.3,-0.1875,282.3,310
207,0.3,-0.1875,309.3,270
208,0.3,0,333.2,240
209,0.3,0,356.5,235
210,0,0,378.1,215
211,0.3,0.09375,394.4,165
212,0.3,0.28125,400.6,0
213,0.3,0.875,390.1,105
214,0.3,0.96875,364.5,255
215,0,1.0625,329.6,350
216,0,1.34375,291.5,380
217,0.3,-0.28125,13.4,5
218,0,-0.09375,12.9,5
219,0.3,-0.1875,20.3,25
220,0.3,-0.1875,18.1,20
221,0.3,-0.375,18,0
222,0.3,-0.28125,18.2,0
223,14.1,-2.53125,124.5,250
224,6.3,-1.9375,144.9,205
225,-0.3,-0.96875,164.6,195
226,0.3,-0.375,185.1,205
227,0,-0.28125,208.3,230
228,0.3,-0.28125,226.9,185
229,0.3,-0.28125,231.5,5
230,0,-0.09375,217,145
231,0.3,0.1875,192.3,245
232,0,0.375,169.2,230
233,0.3,0.28125,150.1,190
234,0.3,0.28125,132.6,175
235,0.3,0.375,114.9,175
236,0.3,0.5625,96.3,185
237,0,0.78125,76.4,200
238,0,0.78125,4.2,20
239,0.3,0.65625,4,0
240,0,0.65625,3.8,0
241,0.3,0.78125,4.3,5
242,0.3,0.78125,4.4,0
243,0.3,0.65625,4.7,5
244,0,0.65625,5,5
245,0,0.65625,5.4,5
246,30,-3.90625,5.5,20
247,30.3,-3.71875,10.5,50
248,30.3,-3.90625,20.7,100
249,29.4,-3.90625,39.9,190
250,24.6,-3.53125,65.8,260
251,20.4,-2.84375,96.7,310
252,17.7,-2.625,125.2,285
253,9,-1.84375,149.6,245
254,-0.3,-0.65625,180,305
255,0.3,-0.375,214,340
256,0,-0.28125,246.6,325
257,0,-0.1875,279.9,335
258,0,-0.09375,310.7,310
259,0,-0.09375,339.9,290
260,0.3,0.09375,365.5,255
261,0,0.46875,384.5,190
262,0.3,0.46875,394,95
263,0.3,0.65625,385.9,80
264,0,1.0625,358.4,275
265,0.3,1.5625,319.4,390
266,0.3,1.84375,274.2,450
267,0,2.03125,229.9,445
268,0,1.75,187.3,425
269,0,1.46875,146.7,405
270,0,0.09375,14.3,5
271,0,0.09375,14.6,5
272,0,0.09375,13.9,5
273,0.3,0.1875,13,10
274,0.3,0.28125,11.7,15
275,0,-0.28125,21,5
276,0,-0.28125,19.9,10
277,0.3,-0.28125,17.9,20
278,0.3,-0.65625,95.6,195
279,0.3,-0.5625,113.9,185
280,0,-0.5625,130.5,165
281,0.3,-0.375,145,145
282,0,-0.28125,155.8,110
283,0,-0.1875,162.2,65
284,0.3,0,163.1,0
285,0,0,161,20
286,0.3,0,155.1,60
287,0.3,0.1875,145.7,95
288,0,0.46875,132.8,130
289,0.3,0.5625,115.9,170
290,0,0.65625,96.3,195
291,0.3,0.96875,78.1,180
292,0,0.96875,60.3,180
293,0,0.875,41.1,190
294,10.5,-1.15625,1.1,0
295,12,-1.46875,1.1,0
296,13.2,-1.5625,1.1,0
297,13.5,-1.75,1,0
298,13.8,-1.75,1,0
299,14.4,-1.75,1,0
300,14.4,-1.75,1.2,0
301,14.4,-1.75,0.9,0
302,0,0.46875,45,105
303,0,0.96875,32,130
304,0,1.0625,18.4,135
305,0,1.84375,5.6,130
306,0.3,1.5625,6.8,125
307,0,2.03125,18.7,120
308,0.3,2.03125,30.5,120
309,0.3,-0.28125,12.1,0
310,0.3,-0.28125,12.1,0
311,0.3,-0.28125,11.8,0
312,0,-0.09375,10.8,10
313,0.3,0,0.6,0
314,0,0.1875,0.2,10
315,0.3,0.28125,1.4,10
316,0,0.28125,2.6,15
317,0,-0.28125,105.9,45
318,0.3,-0.09375,106.6,0
319,0.3,-0.1875,103.4,30
320,0.3,-0.1875,94.8,85
321,0.3,-0.09375,80.9,140
322,0,0.1875,65.1,160
323,0.3,0.28125,48.5,165
324,0.3,0.5625,32.2,165
325,0,0.78125,16.3,160
326,0.3,0.96875,0.1,165
327,0.3,-0.96875,91.8,70
328,0,-0.875,96.1,45
329,0.3,-0.5625,94.8,15
330,0,-0.1875,86.8,80
331,0.3,-0.09375,73.8,130
332,0,0,58.1,155
333,0,0,41.7,165
334,0,0,27.1,145
335,0,-0.09375,13.3,140
336,0,0,1.1,145
337,0.3,0.1875,15.6,145
338,0.3,0,11.9,55
339,0,-0.09375,15.5,35
340,0.3,-0.1875,15.5,0
341,0,0,15.7,0
342,0.3,0,15.7,0
343,0.3,0,15.7,0
344,0,-0.09375,2.3,10
345,0,0,2,5
346,0.3,-0.46875,89.8,65
347,0.3,-0.65625,96.7,70
348,0.3,-0.5625,104.5,80
349,0.3,-0.5625,112.9,85
350,0,-0.65625,121.4,85
351,0.3,-0.65625,129.3,80
352,0.3,-0.78125,135,55
353,24.6,-3.90625,8,45
354,22.2,-3.21875,16.2,80
355,21.6,-3.21875,28.1,120
356,21.3,-3.21875,44.7,165
357,19.5,-3.03125,67.9,230
358,16.5,-2.625,97,290
359,9,-2.03125,128.5,315
360,0,-0.875,159.7,310
361,-0.3,-0.375,187.8,280
362,0,-0.1875,216.3,285
363,0,-0.09375,246.4,300
364,0,-0.09375,274.3,280
365,0,0.1875,300,255
366,0,0.375,322.5,225
367,0,0.5625,341.1,185
368,0,0.5625,350.8,95
369,0,0.78125,348.6,25
370,0,1.0625,340.6,80
371,0,1.34375,326.9,135
372,0,1.25,306.8,200
373,0,1.5625,282.8,240
374,0,1.75,258.4,245
375,0.3,1.84375,234.4,240
376,0,1.84375,209,255
377,0,2.03125,179.9,290
378,0,2.15625,147.5,325
379,36.9,-6.375,64.5,170
380,28.5,-4.90625,85.2,205
381,21.3,-4.3125,107.2,220
382,9,-3.3125,126.2,190
383,-0.3,-1.75,140.7,145
384,0.3,-0.875,149.9,90
385,0,-0.875,153.9,40
386,0,-0.46875,149.2,45
387,0,-0.28125,133,160
388,0,-0.09375,108.2,250
389,0,0,82.9,255
390,0,0.09375,55.9,270
391,0,0.78125,27.6,285
392,7.5,-0.96875,0.6,0
393,9.6,-1.15625,0.5,0
394,10.8,-1.34375,0.5,0
395,12,-1.5625,0.4,0
396,12.3,-1.5625,0.4,0
397,12.9,-1.75,0.4,0
398,13.2,-1.75,0.3,0
399,0,-0.1875,9.5,5
400,0,-0.1875,10.3,10
401,0,-0.09375,10.5,0
402,0,-0.09375,10,5
403,0.3,-0.09375,4.4,0
404,0,0,165.1,110
405,0,0,171.2,60
406,0,0,171.7,0
407,0,0.1875,170.2,15
408,0,0.1875,167.5,25
409,0,0.28125,162,55
410,0,0.46875,152.5,95
411,0,0.78125,140.3,120
412,0,0.78125,126.1,140
413,0.3,0.875,110.7,155
414,0.3,0.96875,94.3,165
415,0.3,0.96875,77.8,165
416,0.3,0.96875,62.2,155
417,0.3,1.0625,46.6,155
418,0,1.0625,29.5,170
419,0,0.1875,3.4,65
420,0,0.375,12.2,90
421,0,0.65625,23.3,110
422,0,0.96875,35.4,120
423,0.3,1.0625,47.9,125
424,0,0.875,60.2,125
425,0,1.0625,71.5,115
426,0,0.28125,10.9,55
427,0.3,0.1875,16.1,50
428,0.3,0.09375,18.9,30
429,0.3,0.28125,19.2,0
430,0.3,0.28125,19.1,0
431,0,0.46875,19,0
432,0,-0.375,3.2,5
433,0,-0.46875,3.1,0
434,0.3,-0.375,3,0
435,4.8,-1.5625,56.9,170
436,0,-0.78125,76.8,200
437,0.3,-0.28125,99.5,225
438,0,-0.28125,122.7,230
439,0,-0.1875,143.5,210
440,0,-0.09375,162.5,190
441,0,-0.09375,177.5,150
442,0,-0.09375,185.1,75
443,0,0,185.8,0
444,0,0.09375,184.4,15
445,0,0.1875,183.2,10
446,0.3,0.09375,181.9,15
447,0,0.28125,178,40
448,0,0.46875,171.7,65
449,0.3,0.65625,161.7,100
450,0,0.875,147.5,140
451,0,0.96875,127.8,195
452,0,1.0625,106.5,215
453,0,1.25,86.2,205
454,0,1.34375,65,210
455,49.5,-6.75,4,10
456,40.8,-6.28125,5.7,15
457,33.6,-5.375,9,35
458,27.9,-4.5,15.6,65
459,24.6,-4,26.3,105
460,17.7,-3.125,40.9,145
461,7.5,-2.03125,58.2,175
462,-0.3,-0.65625,78.2,200
463,0.3,-0.1875,99.8,215
464,0,-0.09375,121.8,220
465,0,0,141.7,200
466,0,0,162.6,210
467,0,0,184.8,220
468,0,0,204.8,200
469,0,0.09375,216.6,120
470,0,0.09375,220.7,40
471,0,0.1875,220.9,0
472,0,0.28125,220.5,5
473,0,0.375,220.3,0
474,0,0.375,220,5
475,0,0.46875,219.3,5
476,0,0.375,217.5,20
477,0,0.375,214.4,30
478,0,0.46875,210.6,40
479,0,0.5625,207.6,30
480,0,0.5625,205.9,15
481,0,0.46875,204.2,15
482,0,0.375,200,40
483,0,0.5625,191.3,85
484,0,-0.28125,8.2,0
485,0,-0.28125,8,0
486,0.3,-0.375,7.7,5
487,0,0,3,5
488,0,0,2.8,0
489,0,-0.1875,165.7,70
490,0,0.375,168.1,25
491,0,0.09375,167.8,0
492,0,0.1875,165.7,20
493,0.3,0.5625,161.4,45
494,0,0.65625,153.8,75
495,0,1.34375,142.4,115
496,0,1.75,126.1,165
497,0,1.75,106.7,195
498,0,1.75,86.6,200
499,0,1.84375,67.2,195
500,0,1.84375,47.7,195
501,0,0.1875,1.2,0
502,0,0.1875,1,0
503,0,0.09375,0.8,0
504,0,-0.09375,0.8,0
505,0,0,0.7,0
506,0,-0.1875,0.7,0
507,0,-0.1875,0.6,0
508,0,-0.1875,0.6,0
509,5.1,-2.34375,63.2,155
510,-0.6,-1.15625,81,180
511,0,-0.96875,101.7,205
512,0,-0.875,122.7,210
513,0,-0.65625,140.6,180
514,0,-0.375,153.2,125
515,0,-0.09375,155.5,0
516,0,0.1875,151.4,40
517,0,0.1875,142.9,85
518,0,0.5625,129.3,135
519,0,1.0625,111,185
520,0,1.25,90.9,200
521,0,1.34375,71.5,195
522,0,1.46875,51.8,195
523,0,0.28125,5.4,65
524,0,0.09375,12,65
525,0,0,18.2,60
526,0,0,22.7,45
527,0,0.09375,24,15
528,0,0.1875,23.4,5
529,0,-0.46875,0.1,0
530,0,-0.1875,0,0
531,0,-0.09375,0.5,5
532,0,-0.375,21.4,10
533,0,-0.46875,22.8,15
534,0.3,-0.375,23.5,5
535,0,-0.28125,23.4,0
536,0,-0.1875,23.1,5
537,39,-5.96875,1.3,0
538,35.4,-5.59375,0.9,5
539,31.8,-5.1875,0.1,10
540,28.2,-4.5,1.4,15
541,26.1,-4.21875,4.3,30
542,21.6,-3.71875,9.7,55
543,13.5,-2.71875,19.4,95
544,3.9,-1.34375,33.3,140
545,-0.3,-0.375,53.1,200
546,0,-0.1875,76.3,230
547,0.3,-0.09375,102.8,265
548,0,-0.09375,128.5,255
549,0,0,153.6,250
550,0,0.09375,182.1,285
551,0,0.09375,210.2,280
552,0,0.1875,232,220
553,0,0.46875,244.6,125
554,0,0.65625,253.4,90
555,0,0.78125,257.4,40
556,0,1.0625,256.8,5
557,0,1.34375,255.3,15
558,0,1.46875,253.7,15
559,0,1.34375,251.4,25
560,0,1.5625,246.9,45
561,0,1.46875,237.7,90
562,0,1.5625,221.6,160
563,0,1.65625,199.9,215
564,0,2.03125,174.9,250
565,0,2.34375,150.5,245
566,0,2.15625,126.7,240
567,0,2.25,102.3,245
568,44.1,-6.9375,1.2,5
569,35.7,-5.96875,2.1,10
570,31.2,-4.90625,3.9,20
571,24.6,-4.5,8.2,45
572,15.9,-3.03125,17.1,90
573,10.8,-2.03125,30.1,130
574,6.3,-1.5625,46.1,160
575,0,-0.78125,66,200
576,-0.6,-0.28125,88,220
577,0,-0.09375,109.4,215
578,0,0,135.1,255
579,0,0,165.9,310
580,0,0,199,330
581,0,0,228.3,295
582,0,0.09375,255.5,270
583,0,0.28125,282.8,275
584,0,0.375,311,280
585,0,0.375,340,290
586,0,0.65625,367.1,270
587,0,0.5625,386.1,190
588,0.3,0.78125,394.1,80
589,0,0.875,391.1,30
590,0,1.0625,380.8,105
591,0,0.96875,364,170
592,0,1.0625,345.5,185
593,0,1.15625,320.3,250
594,0,1.46875,292.8,275
595,0,1.65625,261.1,315
596,0,1.65625,222.3,390
597,0,0.28125,15.2,10
598,0,0.28125,16.1,10
599,0,0.375,16.1,0
600,0,0.375,15.8,5
601,0,0.375,15.2,5
602,0,-0.1875,2.6,0
603,0,-0.28125,2.1,5
604,0,-0.28125,1.7,5
605,9.9,-1.75,4.3,10
606,10.2,-1.75,5.9,15
607,10.2,-1.75,9.1,30
608,10.2,-1.75,15.8,65
609,9.6,-1.75,25.8,100
610,6.6,-1.5625,38.3,125
611,1.8,-0.96875,53.8,155
612,-0.6,-0.1875,72.3,185
613,0.3,0,92.9,205
614,0,0,113.5,205
615,0,0.1875,134.6,210
616,0,0.1875,156.7,220
617,0,0.1875,173.6,170
618,0,0.28125,182,85
619,0,0.46875,185.8,40
620,0,0.5625,188.3,25
621,0,0.875,189.9,15
622,0,0.875,190.8,10
623,0,0.96875,190.9,0
624,0,1.0625,191,0
625,0,1.15625,190.8,0
626,0,1.15625,190,10
627,0,1.25,188.5,15
628,0,1.25,186.1,25
629,0,1.15625,181.7,45
630,0,1.25,173.8,80
631,0,1.0625,162.2,115
632,0,1.0625,148,140
633,0,1.34375,131.2,170
634,0,1.46875,112.3,190
635,0,1.5625,94.5,180
636,0,1.5625,76.6,180
637,0,1.65625,57.7,190
638,16.5,-2.71875,1.6,10
639,15.3,-2.53125,2.8,10
640,13.2,-2.34375,5.9,30
641,9,-1.9375,12.2,70
642,1.8,-1.15625,26,130
643,-0.3,-0.28125,44.6,185
644,0,-0.1875,66.8,220
645,0,-0.09375,91.7,250
646,0,-0.09375,117,255
647,0,0,142.9,260
648,0,0,169.4,265
649,0,0,188.7,220
650,0,0,201.1,105
651,0,0.375,201,5
652,0,0.875,199.3,15
653,0,0.875,199.2,0
654,0,0.96875,198.9,5
655,0,1.15625,196.7,20
656,0,1.15625,192,45
657,0,1.25,185.6,70
658,0,1.5625,175,95
659,0,1.65625,163.5,115
660,0,1.75,152,115
661,0,1.75,140.5,115
662,0,1.84375,128.4,120
663,0,1.84375,114.9,135
664,0,1.75,99.2,155
665,0,1.84375,81.2,180
666,0,1.84375,63.4,180
667,0,-0.1875,10.6,50
668,0,-0.28125,15.7,50
669,0,-0.09375,19.3,35
670,0,0,21.2,20
671,0.3,-0.09375,21.9,5
672,0,0,1.1,0
673,0,0,17.6,0
674,25.2,-4.40625,2.5,5
675,22.2,-4,4.2,15
676,20.4,-3.3125,9.1,50
677,19.2,-3.3125,18.1,90
678,16.2,-3.03125,31.8,135
679,5.1,-1.9375,49.1,175
680,-0.3,-0.46875,65.8,165
681,0,-0.1875,81.6,160
682,0,-0.09375,97.5,160
683,0,0,116.9,195
684,0,0,139,220
685,0,0.28125,163.6,245
686,0,0.46875,189.6,260
687,0,0.78125,202.4,130
688,0,0.96875,200.3,25
689,0,1.15625,197.9,25
690,0,1.25,197.8,0
691,0,1.34375,197.8,0
692,0,1.5625,197.7,0
693,0,1.75,197.3,5
694,0,1.34375,196.9,5
695,0,1.15625,196.1,10
696,0,1.65625,192.5,35
697,0,2.15625,184.4,80
698,0,1.9375,168.4,160
699,0,2.15625,138.1,305
700,0,2.4375,104.1,340
701,0,2.625,72.3,320
702,0,-0.28125,0.6,0
703,0,-0.375,0.5,0
704,0,-0.375,0.4,0
705,0,-0.375,0.4,0
706,0,-0.28125,0.3,0
707,0,-0.375,0.2,0
708,0,-0.375,0,0
709,0,-0.28125,0.3,5
710,0,-0.375,0.4,0
711,0,-0.28125,0.5,0
712,0,-0.46875,0.6,0
713,0,-0.375,0.8,0
714,0,-0.375,1,0
715,0,-0.375,1.3,5
716,38.7,-6.75,11.7,45
717,29.4,-5.375,18.3,65
718,22.8,-4.5,29.4,110
719,6.3,-3.03125,44.8,155
720,0,-1.15625,59.6,150
721,-0.3,-0.375,74.8,150
722,0,-0.1875,92.1,175
723,0,-0.09375,112.4,205
724,0,-0.09375,139.2,270
725,0,0,172.9,335
726,0,-0.09375,211.4,385
727,0,0,241.1,295
728,0,0.09375,257.5,165
729,0,0.78125,261.1,0
730,0,0.96875,257.6,35
731,0,1.15625,251.3,65
732,0,1.34375,240.6,105
733,0,1.15625,224.8,160
734,0,1.25,206.9,180
735,0,1.34375,189.4,175
736,0,1.25,171.5,180
737,0,1.15625,151.6,200
738,0,1.9375,129.9,215
739,0,2.625,109.2,205
740,0,-0.28125,13,5
741,0,-0.28125,13.1,0
742,0,-0.28125,13.5,5
743,0,-0.1875,14.2,5
744,0,0,0.5,0
745,0,0,0.2,5
746,0,0.09375,0.1,0
747,0,0.09375,0.1,0
748,-0.3,-0.5625,44.5,115
749,-0.3,-0.1875,58.4,140
750,0,-0.1875,74.4,160
751,0,-0.1875,90.7,165
752,0.3,-0.1875,106.6,160
753,0,0,120.7,140
754,0,0,132.4,115
755,0,0,139.7,75
756,0,0.09375,141.1,15
757,0,0.09375,139.6,15
758,0,0.1875,137.5,20
759,0,0.28125,134.8,25
760,0,0.375,131.9,30
761,0,0.5625,128,40
762,0,0.78125,123,50
763,0,0.96875,116.3,65
764,0,1.0625,107.7,85
765,0,1.15625,97.4,105
766,0,1.15625,84.4,130
767,0,1.15625,70.3,140
768,0,1.15625,56.3,140
769,0,1.0625,41.4,150
770,0,1.15625,27.4,140
771,0,1.15625,16.5,110
772,0,-0.375,0.3,0
773,0,-0.28125,0.5,0
774,0,-0.1875,0.5,0
775,0.3,-0.1875,0.6,0
776,0,-0.28125,38.2,185
777,0,-0.28125,66.2,280
778,0,-0.09375,99.1,330
779,0,-0.09375,135.2,360
780,0.3,0,169.6,345
781,0,0,200.1,305
782,0,0,220.2,200
783,0,0,225.8,0
784,0,0.09375,218.5,75
785,0,0.09375,203.2,155
786,0,0.1875,183.8,195
787,0,0.375,162.1,215
788,0,0.46875,140.6,215
789,0,0.78125,119.9,205
790,0,0.96875,98.9,210
791,0,0.875,76.7,220
792,0,0.78125,52.5,240
793,0,0.78125,26.4,260
794,0,0.78125,93.2,35
795,0,0.875,88.7,45
796,0,0.875,84,50
797,0,1.0625,78.1,55
798,0,0.96875,71.5,65
799,0,0.875,381,25
800,0,0.875,382.2,10
801,0.3,0.78125,382.3,0
802,0,0.96875,382.3,0
803,0,0.96875,382.3,0
804,0,0.875,382.3,0
805,0,0.875,382.3,0
806,0,0.875,382.3,0
807,0,0.875,382.4,0
808,0,-0.09375,11,10
809,0,-0.09375,10.7,0
810,0,-0.09375,3.8,0
811,0,-0.1875,3.6,0
812,0,-0.1875,3.5,0
813,0,0,3,5
814,0,0.1875,15.8,5
815,0,0.1875,16.6,10
816,0,0.28125,17.5,10
817,0,0.28125,18.5,10
818,0,0,11.9,20
819,0.3,-0.09375,15,30
820,0.3,0,18,30
821,0.3,0,18.9,10
822,0,0,18.4,5
823,0,-0.09375,15.9,5
824,0.3,-0.1875,15.7,0
825,0.3,-0.1875,15.5,0
826,0.3,-0.1875,14.9,5
827,1.8,-0.375,1.3,0
828,1.8,-0.46875,1.3,0
829,1.8,-0.46875,1.3,0
830,2.1,-0.46875,1.3,0
831,2.4,-0.46875,1.3,0
832,3,-0.5625,1.4,0
833,0.3,0.78125,22.6,5
834,0,0.78125,22.6,0
835,0.3,2.03125,32.8,95
836,0.3,1.84375,23.2,95
837,0.3,2.03125,13.2,100
838,0.3,2.03125,6.2,70
839,0.3,2.15625,2.9,35
840,0.3,2.15625,1.6,15
841,0,2.03125,1,5
842,24,-2.9375,14.7,125
843,20.1,-2.71875,3.2,180
844,12.6,-1.84375,20.2,170
845,9.3,-1.0625,34.7,145
846,2.4,-0.78125,44.8,100
847,0,-0.375,51.9,70
848,0.3,-0.375,56.8,50
849,0.3,0.46875,1.1,5
850,0.3,0.46875,1,0
851,27.9,-4.59375,0,0
852,25.5,-4.09375,0.2,0
853,24.9,-3.53125,0.4,0
854,20.4,0.375,0.3,0
855,20.1,1.25,0.2,0
856,23.7,0.65625,0.2,0
857,29.1,-0.46875,0.2,0
858,31.8,-0.375,0.2,0
859,32.4,0.28125,0.2,0
860,33,0.375,0.3,0
861,33.9,-0.1875,0.3,0
862,34.8,-0.28125,0.3,0
863,34.8,0.09375,0.2,0
864,35.1,0.28125,0.3,0
865,35.4,0,0.3,0
866,35.7,-0.09375,0.3,0
867,36,0,0.3,0
868,36,0.09375,0.3,0
869,36.3,0,0.3,0
870,36.6,0,0.3,0
871,36.6,0,0.4,0
872,37.2,0.09375,0.4,0
873,37.2,0,0.4,0
874,37.5,0,0.4,0
875,37.8,0,0.4,0
876,38.1,0,0.4,0
877,38.1,0,0.4,0
878,38.1,0,0.4,0
879,38.4,0,0.4,0
880,38.4,0,0.4,0
881,38.7,0,0.4,0
882,39,0,0.4,0
883,39.3,0,0.4,0
884,39.3,0,0.4,0
885,39.3,0,0.4,0
886,39.3,0,0.4,0
887,39.6,0,0.4,0
888,39.6,0,0.4,0
889,39.9,0,0.4,0
890,39.9,0,0.4,0
891,40.2,0,0.4,0
892,40.5,0,0.3,0
893,40.5,0,0.4,0
894,40.5,0,0.4,0
